83;0.339869E-09;0.771445E-13;0.418448E-15;-0.192689E-11
84;0.344137E-09;0.794643E-13;0.426488E-15;-0.201702E-11
85;0.348448E-09;0.817937E-13;0.434580E-15;-0.210843E-11
86;0.352797E-09;0.841305E-13;0.442724E-15;-0.220097E-11
87;0.357179E-09;0.864717E-13;0.450920E-15;-0.229450E-11
88;0.361592E-09;0.888149E-13;0.459170E-15;-0.238890E-11
89;0.366036E-09;0.911574E-13;0.467475E-15;-0.248407E-11
90;0.370510E-09;0.934960E-13;0.475835E-15;-0.257990E-11
91;0.375015E-09;0.958281E-13;0.484251E-15;-0.267628E-11
92;0.379552E-09;0.981518E-13;0.492724E-15;-0.277319E-11
93;0.384122E-09;0.100465E-12;0.501257E-15;-0.287055E-11
94;0.388724E-09;0.102767E-12;0.509849E-15;-0.296834E-11
95;0.393360E-09;0.105055E-12;0.518504E-15;-0.306651E-11
96;0.398028E-09;0.107328E-12;0.527223E-15;-0.316499E-11
97;0.402730E-09;0.109584E-12;0.536006E-15;-0.326373E-11
98;0.407466E-09;0.111821E-12;0.544856E-15;-0.336268E-11
99;0.412233E-09;0.114038E-12;0.553774E-15;-0.346178E-11
100;0.417033E-09;0.116233E-12;0.562762E-15;-0.356096E-11
101;0.421864E-09;0.118404E-12;0.571821E-15;-0.366017E-11
102;0.426728E-09;0.120548E-12;0.580953E-15;-0.375936E-11
103;0.431621E-09;0.122667E-12;0.590159E-15;-0.385843E-11
104;0.436544E-09;0.124755E-12;0.599441E-15;-0.395735E-11
105;0.441495E-09;0.126813E-12;0.608800E-15;-0.405603E-11
106;0.446474E-09;0.128838E-12;0.618239E-15;-0.415440E-11
107;0.451480E-09;0.130829E-12;0.627757E-15;-0.425240E-11
108;0.456511E-09;0.132785E-12;0.637358E-15;-0.434995E-11
109;0.461567E-09;0.134704E-12;0.647042E-15;-0.444699E-11
110;0.466647E-09;0.136583E-12;0.656812E-15;-0.454344E-11
111;0.471749E-09;0.138422E-12;0.666668E-15;-0.463925E-11
112;0.476873E-09;0.140219E-12;0.676613E-15;-0.473430E-11
113;0.482019E-09;0.141971E-12;0.686649E-15;-0.482853E-11
114;0.487184E-09;0.143676E-12;0.696777E-15;-0.492184E-11
115;0.492368E-09;0.145334E-12;0.706999E-15;-0.501414E-11
116;0.497569E-09;0.146942E-12;0.717318E-15;-0.510534E-11
117;0.502788E-09;0.148497E-12;0.727735E-15;-0.519536E-11
118;0.508022E-09;0.149999E-12;0.738252E-15;-0.528409E-11
119;0.513269E-09;0.151445E-12;0.748872E-15;-0.537146E-11
120;0.518530E-09;0.152835E-12;0.759595E-15;-0.545738E-11
121;0.523803E-09;0.154166E-12;0.770425E-15;-0.554175E-11
122;0.529085E-09;0.155436E-12;0.781364E-15;-0.562450E-11
123;0.534377E-09;0.156645E-12;0.792413E-15;-0.570553E-11
124;0.539677E-09;0.157791E-12;0.803575E-15;-0.578475E-11
125;0.544983E-09;0.158872E-12;0.814851E-15;-0.586209E-11
126;0.550294E-09;0.159887E-12;0.826244E-15;-0.593745E-11
127;0.555608E-09;0.160836E-12;0.837757E-15;-0.601075E-11
128;0.560924E-09;0.161716E-12;0.849391E-15;-0.608191E-11
129;0.566242E-09;0.162527E-12;0.861149E-15;-0.615085E-11
130;0.571560E-09;0.163267E-12;0.873033E-15;-0.621746E-11
131;0.576875E-09;0.163935E-12;0.885045E-15;-0.628169E-11
132;0.582188E-09;0.164532E-12;0.897187E-15;-0.634345E-11
133;0.587496E-09;0.165055E-12;0.909461E-15;-0.640267E-11
134;0.592799E-09;0.165508E-12;0.921870E-15;-0.645927E-11
135;0.598095E-09;0.165886E-12;0.934416E-15;-0.651320E-11
136;0.603384E-09;0.166191E-12;0.947099E-15;-0.656436E-11
137;0.608664E-09;0.166422E-12;0.959924E-15;-0.661269E-11
